,size,Diptera (D),Coleoptera (C),Lepidoptera (L),Hemiptera (H),Ephemeroptera(E),Hymenoptera (HY),Trichoptera (T),Psocodea(PS),Plecoptera (P),Megaloptera (M),Blattodea (B),Mecoptera (ME),Neuroptera(N),Orthoptera(O),Odonata(OD),Dermaptera (DE),Non-insect (*),Unidentifiable,notes,,totals by order,,total total
Z3-2.0604.1006,S,1,,1,,,2,,,,,,,,,,,,,,,,,
Z3-2.0604.1006,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0604.1011,S,6,1,1,,,2,,,,,,,,,,,,,,,,,
Z3-3.0604.1011,M,2,,2,,,,,,,,,1,,,,,,,,,,,
Z3-1.0604.0816,S,,2,,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0906,S,9,,,,,1,,,,,,,,,,,,,,,,,
Z3-2.0604.0906,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0604.0906,L,1,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0906,S,4,,2,1,,2,,,,,,,,,,,,,,,,,
Z3-2.0604.0906,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0946,S,5,,,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0946,M,2,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.0946,G,1,,,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.1006,S,4,,,1,,,,,,,,,,,,,,,,,,,
Z2-1.0604.1006,M,,,,,,,,,1,,,,,,,,,,,,,,
Z2-1.0604.1006,L,,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0604.1006,G,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0836,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0936,S,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0936,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0936,L,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0604.0936,G,2,,,,,,,,,,,,,,,,,,,,,,
S3-1.0611.0921,S,7,3,,,,,,,,,,,,,,,2,,mites on diptera,,,,
S3-1.0611.0921,M,1,,,,,,,,,,,,,,,,,,,,,,
S1-2.0611.0941,S,6,,,,,2,,,,,,,,,,,,,,,,,
S1-2.0611.0856,S,,1,3,,,,,,,,,,,,,,1,,springtail,,,,
S3-1.0611.1006,S,23,1,1,,1,,,,,,,,,,,,6,,3 diptera with mites,,,,
S3-1.0611.1006,M,1,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0611.0841,S,,3,2,1,,,,,,,,,,,,,,,,,,,
S2-1.0611.0951,S,12,1,3,,1,2,,,,,,,,,,,,,,,,,
S2-1.0611.0951,M,,2,2,,,,,,,,,,,,,,,,,,,,
S1-3.0611.0901,S,2,,,,,,,,,,,,,,,,,,,,,,
S1-3.0611.0901,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0611.0936,S,13,,2,,,1,,,,,,,,,,,,,,,,,
S2-1.0611.0936,M,,3,,,,,,,,,,,,,,,,,,,,,
S2-1.0611.0936,L,,,1,,,,,,,,,,,,,,,,,,,,
S3-3.0611.0901,S,9,,,,,,,,,,,,,,,,,,,,,,
S3-3.0611.0901,M,,1,,,,,,,,,,,,,,,,,,,,,
S3-1.0611.0906,S,5,,1,,,,,,,,,,,,,,,,,,,,
S2-2.0611.1011,S,11,2,3,,,1,,,,,,,,,,,,,,,,,
S2-2.0611.1011,M,,1,3,,,,,,,,,,,,,,,,,,,,
S2-2.0611.0956,S,53,5,3,1,,,,,,,,,,,,,4,,"2 mites, 2 worms",,,,
S2-2.0611.0956,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0611.0956,L,,,2,,,,,,,,,,,,,,,,,,,,
S1-2.0611.0956,S,5,,,,,,,,,,,,,,,,,,,,,,
S1-2.0611.0956,M,,,,1,,,,,,,,,,,,,,,,,,,
S1-2.0611.0926,S,15,1,1,,,,,,,,,,,,,,,,,,,,
S1-2.0611.0926,M,,3,,,,,,,,,,,,,,,,,,,,,
S3-1.0611.0951,S,11,,,,3,,,,,,,,,,,,,,,,,,
S1-3.0611.0831,S,1,,,,,,,,,,,,,,,,,,,,,,
S3-2.0611.0911,S,20,3,,15,1,,,,,,,,,,,,,,,,,,
S3-2.0611.0911,L,,,1,,,,,,,,,,,,,,,,,,,,
S1-1.0611.0951,S,13,1,,,,,,,,,,,,,,,,,,,,,
S1-1.0611.0951,M,,2,1,,,,,,,,,,,,,,,,,,,,
S1-1.0611.0906,S,8,1,,,,,,,,,,,,,,,1,,blue parasitic worm?,,,,
S3-1.0611.0821,S,,1,,,,,,,,,,,,,,,,,,,,,
S3-3.0611.0931,S,5,,,4,2,,,,,,,,,,,,,,,,,,
S3-2.0611.1011,S,10,1,1,6,4,,,,,,,,,,,,,,,,,,
S3-2.0611.1011,M,,4,4,,,,,,,,,,,,,,1,,arachnid,,,,
S3-3.0611.0846,S,4,,,,,,,,,,,,,,,,,,,,,,
S3-3.0611.0846,M,1,,,,,,,,,,,,,,,,,,,,,,
S2-3.0611.1016,S,11,2,5,,,,,,,,,,,,,,,,,,,,
S2-3.0611.1016,M,,4,,1,,,,,,,,,,,,,,,,,,,
S2-3.0611.1016,G,1,,,,,,,,,,,,,,,,,,,,,,
S2-2.0611.0911,S,14,1,4,,,1,,,,,,,,,,,,,,,,,
S1-3.0611.1001,S,9,,,,,,,,,,,,,,,,,,,,,,
S1-3.0611.1001,M,,,1,,,,,,,,,,,,,,,,,,,,
S2-3.0611.0831,S,1,2,,,,,,,,,,,,,,,,,,,,,
S2-3.0611.0831,M,,1,,,,,,,,,,,,,,,,,,,,,
S1-1.0611.1006,S,23,2,1,,,2,,,,,,,,,,,,,,,,,
S1-1.0611.1006,M,,2,,,,,,,,,,,,,,,,,,,,,
S2-2.0611.0941,S,43,,6,1,,,,,,,,,,,,,,,,,,,
S2-2.0611.0941,M,1,2,1,,,,2,,,,,,,,,,,,,,,,
S3-1.0611.0936,S,19,1,,,3,,,,,,,,,,,,,,,,,,
S3-1.0611.0936,M,2,,,,,,,,,,,,,,,,,,,,,,
S1-2.0611.0821,S,,1,,,,,,,,,,,,,,,,,,,,,
S1-1.0611.0851,S,7,2,,,,,,,,,,,,,,,,,,,,,
S1-1.0611.0851,M,,1,,,,,,,,,,,,,,,,,,,,,
S1-2.0611.0911,S,4,1,,,,,,,,,,,,,,,,,,,,,
S1-2.0611.0911,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0611.1006,S,4,,,1,,,,,,,,,,,,,,,,,,,
S2-1.0611.1006,M,,2,,,,,,,,,,,,,,,,,,,,,
S2-1.0611.1006,G,,,1,,,,,,,,,,,,,,,,,,,,
S2-1.0611.0821,S,1,,1,,,,,,,,,,,,,,,,,,,,
S3-2.0611.0826,M,1,,,,,,,,,,,,,,,,,,,,,,
S3-2.0611.0856,S,5,2,,1,,,,,,,,,,,,,,,,,,,
S3-2.0611.0856,M,,,1,,,,,,,,,,,,,,,,,,,,
S3-2.0611.0941,S,30,1,2,11,25,,,,,,,,,,,,,,,,,,
S3-2.0611.0941,M,1,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0616.0853,S,3,1,,,,,,,,,,,,,,,,,,,,,
Z1-3.0616.0903,S,31,,,4,,,,,,,,,,,,,,,,,,,
Z1-3.0616.0903,M,,,,,,,,,,,,,,1,,,,,,,,,
Z1-3.0616.0903,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0616.0928,S,6,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.0948,S,6,,,,,,,,,,,,,,,,,,,,,,
Z1-2.0616.0913,S,3,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0616.0913,G,,,,,,,,,,,1,,,,,,,,,,,,
Z1-2.0616.0943,S,5,,,,2,,,,,,,,,,,,,,,,,,
Z1-2.0616.0943,M,,,,,,,1,,,,,,,,,,,,,,,,
Z2-2.0616.0828,G,,,,,,,,,,,1,,,,,,,,,,,,
W2-3.0613.0917,S,1,,,,,1,,,,,,,,,,,,,,,,,
W1-1.0613.1007,S,6,,,,,,,,,,,,,,,,,,,,,,
W1-1.0613.1007,M,,2,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.0918,S,5,,,,,2,,,,,,,,,,,,,,,,,
Z2-3.0616.0918,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z1-1.0616.1008,S,4,1,,,148,,,,,,,,,,,,,,,,,,
Z1-1.0616.0908,S,2,1,,,1,,,,,,,,,,,,,,,,,,
Z1-1.0616.0908,M,1,,,,,,1,,,,,,,,,,,,,,,,
Z1-3.0616.1003,S,37,,1,,,,,,,,,,,,,,,,,,,,
Z1-3.0616.1003,M,,2,,,,,,,,,,,,,,,,,,,,,
Z1-3.0616.0948,S,40,1,2,,,,,,,,,,,,,,,,,,,,
Z1-3.0616.0948,M,1,2,,,,1,1,,,,,,,,,,,,,,,,
Z1-3.0616.0948,G,,,1,,,,,,,,,,,,,,,,,,,,
S1-1.0611.0936,S,15,,,,,,,,,,,,,,,,,,,,,,
S1-1.0611.0936,M,,2,1,1,,1,,,,,,,,,,,,,,,,,
S1-1.0611.0936,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.0853,S,3,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.0853,M,1,,,,,,,,,,,,,,,,,,,,,,
S1-3.0611.0931,S,7,,,,,1,,,,,,,,,,,,,,,,,
S1-3.0611.0931,M,1,,,,,,,,,,,,,,,,,,,,,,
S3-3.0611.1001,S,17,,,6,3,,,,,,,,,,,,,,,,,,
S1-3.0611.0946,S,11,,1,1,1,,,,,,,,,,,,,,,,,,
S1-3.0611.0946,M,1,,,,,,,,,,,,,,,,,,,,,,
W1-1.0613.0822,S,1,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0613.0922,S,6,,,,1,,,,,,,,,,,,,,,,,,
W2-1.0613.0937,S,6,,,,,,,,,,,,,,,,,,,,,,
W2-1.0613.0937,M,,2,,,,,,,,,,,,,,,,,,,,,
W2-1.0613.0937,L,,,1,,,,,,,,,,,,,,,,,,,,
W1-1.0613.0907,S,18,,2,,,,,,,,,,,,,,,,,,,,
W1-1.0613.0907,M,2,,,,,,1,,,,,,,,,,,,,,,,
S2-3.0611.0901,S,4,,1,1,,,,,,,,,,,,,1,,,,,,
W2-1.0613.0852,S,8,,,,,,,,,,,,,,,,,,,,,,
Z1-3.0616.1018,S,36,,,1,,,1,,,,,,,,,,,,,,,,
Z1-3.0616.1018,M,1,,,,,,,,,,,,,,,,,,,,,,
S2-3.0611.0846,S,3,1,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0616.0908,S,3,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.0903,S,2,,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.0903,L,,,1,,,,,,,,,,,,,,,,,,,,
S3-1.0611.0851,S,6,3,,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.1018,S,11,,,,,1,,,,,,,,,,,,,,,,,
Z2-3.0616.1018,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.1018,L,,,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.0848,S,1,,,1,,,,,,,,,,,,,,,,,,,
Z2-2.0616.1013,S,15,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.1013,M,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0843,S,2,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.1008,S,5,,1,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.1008,M,1,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.1008,G,,,,,,1,,,,,,,,,,,,,,,,,
Z2-1.0616.0853,S,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0943,S,7,3,,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0943,M,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0943,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-3.0613.0902,S,1,,,,1,,,,,,,,,,,,,,,,,,
Z1-1.0616.0953,S,6,,,,114,,,,,,,,,,,,,,,,,,
S2-3.0611.0931,S,15,1,4,2,,1,1,,,,,,,1,,,,,,,,,
Z1-2.0616.0843,S,1,,,,,,,,,,,,,,,,,,,,,,
Z1-2.0616.0958,S,2,,,,4,,1,,,,,,,,,,,,,,,,
Z1-2.0616.0958,M,,,,,,,1,,,,,,,,,,,,,,,,
Z1-2.0616.0958,L,,,1,,,,,,,,,,,,,,,,,,,,
Z1-3.0616.0918,S,42,,6,,,1,,,,,,,,,,,,,,,,,
Z1-3.0616.0918,M,,,1,,,,1,,,,,,,,,,,,,,,,
Z1-3.0616.0918,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0616.0938,S,4,,,,15,,,,,,,,,,,,,,,,,,
Z1-1.0616.0938,M,,1,,,,,1,,,,,,,,,,,,,,,,
Z1-3.0616.0848,S,16,,,1,,,,,,,,,,,,,,,,,,,
Z1-1.0616.0823,S,1,,,,,,,,,,,,,,,,,,,,,,
Z1-1.0616.0838,S,1,,,,,,,,,,,,,,,,,,,,,,
Z1-3.0616.0833,S,3,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.0953,S,3,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.0953,M,,1,,,,,,,,,,,,,,,,,,,,,
Z1-3.0616.0933,S,22,,3,3,1,,,,,,,,,,,,,,,,,,
Z1-3.0616.0933,M,2,,,,,,3,,,,,,,,,,,,,,,,
Z1-3.0616.0858,S,1,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.1003,S,12,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.1003,M,,,1,,,1,,,,,,,,,,,,,,,,,
Z3-1.0616.0928,S,,,1,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.0928,M,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.0933,S,8,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0616.0933,M,,2,,,,,,,,,,,,,,,,,,,,,
Z2-1.0616.1008,S,16,,,1,,,,,,,,,,,,,,,,,,,
Z2-1.0616.1008,M,,1,,,,,,,,,,,,,,,,,,,,,
Z2-1.0616.0938,S,8,,,1,,1,,,,,,,,,,,,,,,,,
Z2-1.0616.0938,M,,2,1,,,,,,,,,,,,,,,,,,,,
Z1-1.0616.0923,S,6,,,,,,,,,,,,,,,,,,,,,,
Z1-2.0616.1013,S,6,,,,,,1,,,,,,,,,,,,,,,,
S1-1.0611.0921,S,8,2,,1,,,,,,,,,,,,,,,,,,,
S1-1.0611.09321,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-3.0613.0947,S,2,,,,,,,,,,,,,,,,,,,,,,
W2-1.0613.0907,G,,,,,,,,,,,2,,,,,,,,,,,,
W2-1.0613.0907,S,,3,,,,,,,,,,,,,,,,,,,,,
W2-1.0613.0907,L,1,,,,,,,,,,,,,,,,,,,,,,
W2-3.0613.1002,G,,,,,,,,,,1,,,,,,,,,,,,,
W2-3.0613.1002,M,,3,,,,,,,,,,,,,,,,,,,,,
W2-3.0613.1002,S,5,,,,,,,,,,,,,,,,,,,,,,
W2-1.0613.0837,S,2,,1,,,,,,,,,,,,,,,,,,,,
